ClientId,ServerId,Costs
"Client1","Server1",69
"Client1","Server2",96
"Client1","Server3",24
"Client1","Server4",88
"Client1","Server5",84
"Client1","Server6",43
"Client1","Server7",60
"Client1","Server8",82
"Client1","Server9",20
"Client1","Server10",60
"Client1","Server11",30
"Client1","Server12",80
"Client1","Server13",70
"Client1","Server14",24
"Client1","Server15",85
"Client1","Server16",91
"Client1","Server17",69
"Client1","Server18",53
"Client1","Server19",61
"Client1","Server20",72
"Client1","Server21",9
"Client1","Server22",58
"Client1","Server23",79
"Client1","Server24",17
"Client1","Server25",27
"Client1","Server26",73
"Client1","Server27",27
"Client1","Server28",12
"Client1","Server29",12
"Client1","Server30",53
"Client1","Server31",53
"Client1","Server32",28
"Client1","Server33",73
"Client1","Server34",80
"Client1","Server35",85
"Client1","Server36",45
"Client1","Server37",44
"Client1","Server38",37
"Client1","Server39",61
"Client1","Server40",69
"Client1","Server41",82
"Client1","Server42",67
"Client1","Server43",4
"Client1","Server44",90
"Client1","Server45",21
"Client1","Server46",67
"Client1","Server47",92
"Client1","Server48",93
"Client1","Server49",82
"Client1","Server50",84
"Client1","Server51",69
"Client1","Server52",86
"Client1","Server53",93
"Client1","Server54",62
"Client1","Server55",77
"Client1","Server56",84
"Client1","Server57",17
"Client1","Server58",57
"Client1","Server59",61
"Client1","Server60",68
"Client1","Server61",44
"Client1","Server62",63
"Client1","Server63",85
"Client1","Server64",24
"Client1","Server65",13
"Client1","Server66",82
"Client1","Server67",14
"Client1","Server68",7
"Client1","Server69",69
"Client1","Server70",14
"Client1","Server71",2
"Client1","Server72",69
"Client1","Server73",98
"Client1","Server74",13
"Client1","Server75",57
"Client1","Server76",27
"Client1","Server77",73
"Client1","Server78",29
"Client1","Server79",41
"Client1","Server80",83
"Client1","Server81",64
"Client1","Server82",44
"Client1","Server83",69
"Client1","Server84",89
"Client1","Server85",95
"Client1","Server86",34
"Client1","Server87",53
"Client1","Server88",59
"Client1","Server89",4
"Client1","Server90",31
"Client1","Server91",65
"Client1","Server92",42
"Client1","Server93",90
"Client1","Server94",8
"Client1","Server95",22
"Client1","Server96",26
"Client1","Server97",66
"Client1","Server98",44
"Client1","Server99",85
"Client1","Server100",2
"Client1","Server101",8
"Client1","Server102",14
"Client1","Server103",29
"Client1","Server104",85
"Client1","Server105",52
"Client1","Server106",46
"Client1","Server107",24
"Client1","Server108",51
"Client1","Server109",64
"Client1","Server110",57
"Client1","Server111",72
"Client1","Server112",86
"Client1","Server113",8
"Client1","Server114",38
"Client1","Server115",24
"Client1","Server116",30
"Client1","Server117",80
"Client1","Server118",51
"Client1","Server119",85
"Client1","Server120",26
"Client1","Server121",12
"Client1","Server122",70
"Client1","Server123",51
"Client1","Server124",11
"Client1","Server125",11
"Client1","Server126",55
"Client1","Server127",77
"Client1","Server128",49
"Client1","Server129",23
"Client1","Server130",62
"Client1","Server131",84
"Client1","Server132",25
"Client1","Server133",53
"Client1","Server134",96
"Client1","Server135",61
"Client1","Server136",50
"Client1","Server137",41
"Client1","Server138",79
"Client1","Server139",46
"Client1","Server140",86
"Client1","Server141",8
"Client1","Server142",62
"Client1","Server143",84
"Client1","Server144",34
"Client1","Server145",42
"Client1","Server146",58
"Client1","Server147",98
"Client1","Server148",12
"Client1","Server149",31
"Client1","Server150",17
"Client1","Server151",95
"Client1","Server152",29
"Client1","Server153",57
"Client1","Server154",30
"Client1","Server155",62
"Client1","Server156",79
"Client1","Server157",100
"Client1","Server158",5
"Client1","Server159",94
"Client1","Server160",33
"Client1","Server161",58
"Client1","Server162",36
"Client1","Server163",35
"Client1","Server164",32
"Client1","Server165",92
"Client1","Server166",15
"Client1","Server167",27
"Client1","Server168",19
"Client1","Server169",30
"Client1","Server170",43
"Client1","Server171",55
"Client1","Server172",2
"Client1","Server173",95
"Client1","Server174",57
"Client1","Server175",58
"Client1","Server176",62
"Client1","Server177",31
"Client1","Server178",77
"Client1","Server179",66
"Client1","Server180",94
"Client1","Server181",92
"Client1","Server182",24
"Client1","Server183",46
"Client1","Server184",5
"Client1","Server185",67
"Client1","Server186",23
"Client1","Server187",100
"Client1","Server188",36
"Client1","Server189",54
"Client1","Server190",11
"Client1","Server191",100
"Client1","Server192",44
"Client1","Server193",83
"Client1","Server194",73
"Client1","Server195",41
"Client1","Server196",87
"Client1","Server197",97
"Client1","Server198",17
"Client1","Server199",66
"Client1","Server200",91
"Client2","Server1",94
"Client2","Server2",51
"Client2","Server3",92
"Client2","Server4",82
"Client2","Server5",94
"Client2","Server6",100
"Client2","Server7",91
"Client2","Server8",82
"Client2","Server9",11
"Client2","Server10",22
"Client2","Server11",18
"Client2","Server12",38
"Client2","Server13",43
"Client2","Server14",55
"Client2","Server15",2
"Client2","Server16",45
"Client2","Server17",9
"Client2","Server18",26
"Client2","Server19",96
"Client2","Server20",5
"Client2","Server21",24
"Client2","Server22",80
"Client2","Server23",85
"Client2","Server24",65
"Client2","Server25",40
"Client2","Server26",64
"Client2","Server27",6
"Client2","Server28",64
"Client2","Server29",37
"Client2","Server30",100
"Client2","Server31",8
"Client2","Server32",63
"Client2","Server33",82
"Client2","Server34",87
"Client2","Server35",84
"Client2","Server36",18
"Client2","Server37",5
"Client2","Server38",16
"Client2","Server39",66
"Client2","Server40",30
"Client2","Server41",93
"Client2","Server42",94
"Client2","Server43",56
"Client2","Server44",7
"Client2","Server45",9
"Client2","Server46",33
"Client2","Server47",70
"Client2","Server48",82
"Client2","Server49",28
"Client2","Server50",93
"Client2","Server51",27
"Client2","Server52",2
"Client2","Server53",55
"Client2","Server54",77
