ClientId,ServerId,Costs
Client1,Server169,65
Client1,Server193,42
Client1,Server218,10
Client1,Server264,12
Client1,Server384,54
Client1,Server418,26
Client1,Server491,21
Client1,Server592,38
Client1,Server688,30
Client1,Server764,55
Client1,Server819,41
Client1,Server897,49
Client1,Server947,31
Client1,Server1035,33
Client1,Server1093,16
Client1,Server1158,75
Client1,Server1204,67
Client1,Server1215,46
Client1,Server1432,92
Client1,Server1454,12
Client1,Server1684,77
Client1,Server1699,46
Client1,Server1713,20
Client1,Server2090,64
Client1,Server2108,78
Client1,Server2126,14
Client1,Server2401,53
Client1,Server2438,6
Client1,Server2450,67
Client1,Server2538,69
Client1,Server2598,22
Client1,Server2618,46
Client1,Server2794,60
Client1,Server2927,54
Client1,Server2969,35
Client2,Server38,83
Client2,Server73,95
Client2,Server117,16
Client2,Server187,19
Client2,Server191,25
Client2,Server214,86
Client2,Server243,66
Client2,Server271,56
Client2,Server278,79
Client2,Server286,37
Client2,Server298,59
Client2,Server379,36
Client2,Server830,29
Client2,Server890,20
Client2,Server974,69
Client2,Server1001,44
Client2,Server1050,97
Client2,Server1177,76
Client2,Server1190,38
Client2,Server1305,87
Client2,Server1378,73
Client2,Server1404,91
Client2,Server1523,45
Client2,Server1539,4
Client2,Server1582,42
Client2,Server1606,2
Client2,Server1607,37
Client2,Server1629,30
Client2,Server2177,33
Client2,Server2198,41
Client2,Server2224,58
Client2,Server2311,3
Client2,Server2468,82
Client2,Server2516,88
Client2,Server2520,89
Client2,Server2524,90
Client2,Server2848,72
Client2,Server2881,86
Client2,Server2888,77
Client2,Server2959,82
Client2,Server2961,62
Client3,Server4,61
Client3,Server250,46
Client3,Server345,98
Client3,Server348,65
Client3,Server540,40
Client3,Server574,58
Client3,Server591,84
Client3,Server718,93
Client3,Server764,25
Client3,Server791,50
Client3,Server803,61
Client3,Server861,77
Client3,Server936,69
Client3,Server999,8
Client3,Server1055,27
Client3,Server1160,91
Client3,Server1214,47
Client3,Server1473,57
Client3,Server1545,50
Client3,Server1546,99
Client3,Server1550,83
Client3,Server1672,19
Client3,Server1739,55
Client3,Server1984,46
Client3,Server2198,16
Client3,Server2302,76
Client3,Server2328,53
Client3,Server2411,96
Client3,Server2423,4
Client3,Server2496,26
Client3,Server2584,82
Client3,Server2658,18
Client3,Server2774,70
Client3,Server2822,48
Client3,Server2966,30
Client4,Server51,8
Client4,Server242,87
Client4,Server476,88
Client4,Server689,66
Client4,Server851,12
Client4,Server855,21
Client4,Server930,74
Client4,Server1020,47
Client4,Server1235,53
Client4,Server1637,5
Client4,Server1642,8
Client4,Server1690,81
Client4,Server1760,68
Client4,Server1786,44
Client4,Server1825,100
Client4,Server1892,41
Client4,Server2029,21
Client4,Server2032,65
Client4,Server2041,33
Client4,Server2068,81
Client4,Server2106,8
Client4,Server2139,10
Client4,Server2168,17
Client4,Server2212,7
Client4,Server2233,20
Client4,Server2313,79
Client4,Server2339,6
Client4,Server2477,31
Client4,Server2544,82
Client4,Server2634,44
Client4,Server2723,24
Client4,Server2787,14
Client4,Server2887,31
Client4,Server2906,67
Client4,Server2912,65
Client5,Server79,31
Client5,Server231,2
Client5,Server238,90
Client5,Server241,11
Client5,Server292,47
Client5,Server365,37
Client5,Server502,48
Client5,Server572,54
Client5,Server579,70
Client5,Server708,55
Client5,Server736,16
Client5,Server862,5
Client5,Server885,45
Client5,Server1135,94
Client5,Server1236,12
Client5,Server1258,63
Client5,Server1331,93
Client5,Server1512,73
Client5,Server1544,77
Client5,Server1727,95
Client5,Server1739,60
Client5,Server1956,32
Client5,Server1979,14
Client5,Server2009,6
Client5,Server2115,39
Client5,Server2140,60
Client5,Server2231,75
Client5,Server2240,31
Client5,Server2313,46
Client5,Server2371,9
Client5,Server2483,32
Client5,Server2540,12
Client5,Server2642,69
Client5,Server2655,15
Client5,Server2659,31
Client5,Server2847,40
Client5,Server2931,17
Client6,Server45,88
Client6,Server60,97
Client6,Server101,17
Client6,Server160,23
Client6,Server323,93
Client6,Server403,68
Client6,Server461,29
Client6,Server724,73
Client6,Server1202,7
Client6,Server1209,21
Client6,Server1338,36
Client6,Server1394,56
Client6,Server1471,51
Client6,Server1523,88
Client6,Server1603,43
Client6,Server1730,60
Client6,Server1732,99
Client6,Server2019,31
Client6,Server2142,82
Client6,Server2150,98
Client6,Server2177,64
Client6,Server2204,100
Client6,Server2233,63
Client6,Server2271,16
Client6,Server2304,26
Client6,Server2319,11
Client6,Server2340,4
Client6,Server2468,45
Client6,Server2470,19
Client6,Server2547,93
Client6,Server2642,48
Client6,Server2650,81
Client6,Server2746,98
Client6,Server2847,87
Client6,Server2888,42
Client6,Server2993,55
Client7,Server39,71
Client7,Server191,58
Client7,Server221,74
Client7,Server272,67
Client7,Server413,95
Client7,Server414,16
Client7,Server432,6
Client7,Server479,43
Client7,Server650,41
Client7,Server666,100
Client7,Server790,9
Client7,Server962,37
Client7,Server1103,74
Client7,Server1165,67
Client7,Server1270,82
Client7,Server1360,4
Client7,Server1492,57
Client7,Server1547,48
Client7,Server1710,2
Client7,Server1735,79
Client7,Server1746,79
Client7,Server1891,3
Client7,Server2118,44
Client7,Server2242,11
Client7,Server2370,37
Client7,Server2473,98
Client7,Server2646,39
Client7,Server2712,78
Client8,Server17,41
Client8,Server30,24
Client8,Server72,27
Client8,Server113,81
Client8,Server329,26
Client8,Server340,34
Client8,Server367,48
Client8,Server415,31
Client8,Server603,30
Client8,Server739,19
Client8,Server806,70
Client8,Server832,56
Client8,Server853,55
Client8,Server979,40
Client8,Server1109,39
Client8,Server1141,23
Client8,Server1179,39
Client8,Server1205,84
Client8,Server1260,88
Client8,Server1297,31
Client8,Server1325,37
Client8,Server1338,65
Client8,Server1421,19
Client8,Server1428,78
Client8,Server1435,68
Client8,Server1639,5
Client8,Server1852,56
Client8,Server1880,4
Client8,Server1901,8
Client8,Server2099,46
Client8,Server2160,34
Client8,Server2300,10
Client8,Server2363,36
Client8,Server2602,100
Client8,Server2649,93
Client8,Server2661,64
Client8,Server2722,23
Client8,Server2786,5
Client8,Server2801,80
Client8,Server2870,95
Client8,Server2976,70
Client9,Server167,50
Client9,Server377,97
Client9,Server400,82
Client9,Server403,5
Client9,Server421,51
Client9,Server422,75
Client9,Server430,91
Client9,Server464,93
Client9,Server477,59
Client9,Server536,41
Client9,Server569,92
Client9,Server644,63
Client9,Server667,44
Client9,Server676,11
Client9,Server749,56
Client9,Server774,53
Client9,Server814,73
Client9,Server1055,34
Client9,Server1062,75
Client9,Server1129,22
Client9,Server1299,46
Client9,Server1336,31
Client9,Server1377,90
Client9,Server1425,57
Client9,Server1440,9
Client9,Server1443,94
Client9,Server1793,84
Client9,Server2032,27
Client9,Server2195,12
Client9,Server2233,43
Client9,Server2455,44
Client9,Server2531,27
Client9,Server2539,69
Client9,Server2542,89
Client9,Server2548,47
Client9,Server2650,33
Client9,Server2721,36
Client9,Server2787,80
Client9,Server2833,49
Client9,Server2840,82
Client9,Server2857,61
Client9,Server2923,81
Client10,Server355,76
Client10,Server456,21
Client10,Server621,77
Client10,Server755,59
Client10,Server836,18
Client10,Server898,23
Client10,Server935,55
Client10,Server951,67
Client10,Server986,38
Client10,Server1028,77
Client10,Server1045,2
Client10,Server1234,76
Client10,Server1236,67
Client10,Server1269,18
Client10,Server1273,53
Client10,Server1641,100
Client10,Server1823,70
Client10,Server1886,2
Client10,Server1923,37
Client10,Server1944,50
Client10,Server1968,69
Client10,Server2079,58
Client10,Server2147,21
Client10,Server2236,14
Client10,Server2346,45
Client10,Server2349,8
Client10,Server2401,32
Client10,Server2408,91
Client10,Server2427,69
Client10,Server2537,59
Client10,Server2592,72
Client10,Server2623,53
Client10,Server2822,24
Client11,Server67,12
Client11,Server86,12
Client11,Server275,69
Client11,Server430,86
Client11,Server477,29
Client11,Server530,88
Client11,Server616,48
Client11,Server799,23
Client11,Server803,28
Client11,Server1063,48
Client11,Server1281,55
Client11,Server1328,18
Client11,Server1340,83
Client11,Server1387,11
Client11,Server1424,40
Client11,Server1464,22
Client11,Server1967,28
Client11,Server2129,11
Client11,Server2146,46
Client11,Server2170,89
Client11,Server2172,94
Client11,Server2211,43
Client11,Server2284,72
Client11,Server2352,10
Client11,Server2452,55
Client11,Server2472,54
Client11,Server2478,93
Client11,Server2675,34
Client11,Server2676,13
Client11,Server2783,87
Client11,Server2888,43
Client11,Server2919,41
Client11,Server2931,82
Client11,Server2962,90
Client12,Server187,45
Client12,Server292,82
Client12,Server324,60
Client12,Server330,85
Client12,Server480,51
Client12,Server674,63
Client12,Server751,68
Client12,Server778,62
Client12,Server813,10
Client12,Server816,85
Client12,Server885,58
Client12,Server896,21
Client12,Server921,8
Client12,Server963,88
Client12,Server1209,49
Client12,Server1238,46
Client12,Server1353,20
Client12,Server1412,38
Client12,Server1488,52
Client12,Server1693,25
Client12,Server1856,70
Client12,Server2152,87
Client12,Server2232,11
Client12,Server2520,78
Client12,Server2572,22
Client12,Server2737,5
Client12,Server2752,57
Client12,Server2760,36
Client12,Server2954,25
Client13,Server6,95
Client13,Server12,88
Client13,Server79,55
Client13,Server108,59
Client13,Server177,18
Client13,Server288,33
Client13,Server354,45
Client13,Server477,21
Client13,Server512,63
Client13,Server523,46
Client13,Server533,37
Client13,Server649,27
Client13,Server692,60
Client13,Server757,37
Client13,Server847,88
Client13,Server900,61
Client13,Server1024,92
Client13,Server1075,69
Client13,Server1119,78
Client13,Server1162,49
Client13,Server1321,89
Client13,Server1527,38
Client13,Server1619,88
Client13,Server1695,39
Client13,Server1974,49
Client13,Server1988,80
Client13,Server2057,98
Client13,Server2084,77
Client13,Server2099,15
Client13,Server2234,99
Client13,Server2301,29
Client13,Server2349,80
Client13,Server2430,21
Client13,Server2468,47
Client13,Server2509,37
Client13,Server2590,34
Client13,Server2744,16
Client13,Server2862,86
Client13,Server2871,16
Client13,Server2891,38
Client13,Server2927,65
Client13,Server2948,57
Client13,Server2973,52
