PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;20
MachineProcess;Machine2;Jobs;20
MachineProcess;Machine3;Jobs;20
MachineProcess;Machine4;Jobs;20
MachineProcess;Machine5;Jobs;20
MachineProcess;Machine6;Jobs;20
MachineProcess;Machine7;Jobs;20
MachineProcess;Machine8;Jobs;20
MachineProcess;Machine9;Jobs;20
MachineProcess;Machine10;Jobs;20
MachineProcess;Machine11;Jobs;20
MachineProcess;Machine12;Jobs;20
MachineProcess;Machine13;Jobs;20
MachineProcess;Machine14;Jobs;20
MachineProcess;Machine15;Jobs;20
OrderProcess;Order1;Machines;["Machine1","Machine10","Machine3","Machine14","Machine11","Machine9","Machine7","Machine5","Machine12","Machine13","Machine2","Machine15","Machine4","Machine6","Machine8"]
OrderProcess;Order1;Durations;[19.0,33.0,32.0,18.0,39.0,34.0,25.0,36.0,40.0,33.0,31.0,30.0,34.0,26.0,13.0]
OrderProcess;Order2;Machines;["Machine10","Machine11","Machine15","Machine6","Machine5","Machine7","Machine1","Machine8","Machine14","Machine12","Machine2","Machine4","Machine3","Machine13","Machine9"]
OrderProcess;Order2;Durations;[11.0,22.0,19.0,12.0,25.0,38.0,29.0,39.0,19.0,22.0,23.0,20.0,40.0,19.0,26.0]
OrderProcess;Order3;Machines;["Machine4","Machine9","Machine12","Machine14","Machine11","Machine15","Machine6","Machine10","Machine1","Machine2","Machine5","Machine3","Machine8","Machine7","Machine13"]
OrderProcess;Order3;Durations;[25.0,17.0,24.0,40.0,32.0,16.0,39.0,19.0,24.0,39.0,17.0,35.0,38.0,20.0,31.0]
OrderProcess;Order4;Machines;["Machine15","Machine4","Machine3","Machine13","Machine5","Machine14","Machine2","Machine7","Machine10","Machine8","Machine11","Machine1","Machine6","Machine9","Machine12"]
OrderProcess;Order4;Durations;[22.0,36.0,34.0,17.0,30.0,12.0,13.0,25.0,12.0,18.0,31.0,39.0,40.0,26.0,37.0]
OrderProcess;Order5;Machines;["Machine13","Machine15","Machine2","Machine8","Machine9","Machine12","Machine7","Machine5","Machine1","Machine3","Machine4","Machine11","Machine6","Machine14","Machine10"]
OrderProcess;Order5;Durations;[32.0,15.0,35.0,13.0,32.0,23.0,22.0,21.0,38.0,38.0,40.0,31.0,11.0,37.0,16.0]
OrderProcess;Order6;Machines;["Machine11","Machine13","Machine9","Machine15","Machine10","Machine7","Machine6","Machine5","Machine3","Machine12","Machine8","Machine4","Machine14","Machine1","Machine2"]
OrderProcess;Order6;Durations;[23.0,38.0,11.0,27.0,11.0,25.0,14.0,12.0,27.0,26.0,29.0,28.0,21.0,20.0,30.0]
OrderProcess;Order7;Machines;["Machine7","Machine9","Machine1","Machine13","Machine11","Machine10","Machine3","Machine5","Machine4","Machine14","Machine15","Machine12","Machine6","Machine8","Machine2"]
OrderProcess;Order7;Durations;[39.0,38.0,15.0,27.0,22.0,27.0,32.0,40.0,12.0,20.0,21.0,22.0,17.0,38.0,27.0]
OrderProcess;Order8;Machines;["Machine12","Machine14","Machine11","Machine9","Machine10","Machine15","Machine6","Machine1","Machine3","Machine7","Machine13","Machine2","Machine4","Machine5","Machine8"]
OrderProcess;Order8;Durations;[11.0,24.0,38.0,15.0,19.0,13.0,30.0,26.0,29.0,33.0,21.0,15.0,21.0,28.0,33.0]
OrderProcess;Order9;Machines;["Machine9","Machine7","Machine6","Machine4","Machine10","Machine1","Machine3","Machine5","Machine13","Machine11","Machine12","Machine8","Machine15","Machine14","Machine2"]
OrderProcess;Order9;Durations;[20.0,17.0,26.0,34.0,23.0,16.0,18.0,35.0,24.0,16.0,26.0,12.0,13.0,27.0,19.0]
OrderProcess;Order10;Machines;["Machine2","Machine8","Machine15","Machine10","Machine6","Machine7","Machine9","Machine4","Machine11","Machine1","Machine5","Machine13","Machine12","Machine14","Machine3"]
OrderProcess;Order10;Durations;[18.0,37.0,27.0,40.0,40.0,17.0,22.0,17.0,30.0,38.0,21.0,32.0,24.0,24.0,30.0]
OrderProcess;Order11;Machines;["Machine12","Machine1","Machine14","Machine7","Machine6","Machine4","Machine15","Machine11","Machine8","Machine9","Machine3","Machine2","Machine13","Machine5","Machine10"]
OrderProcess;Order11;Durations;[19.0,22.0,36.0,18.0,22.0,17.0,35.0,34.0,23.0,19.0,29.0,22.0,17.0,33.0,39.0]
OrderProcess;Order12;Machines;["Machine7","Machine4","Machine13","Machine6","Machine5","Machine2","Machine1","Machine14","Machine9","Machine3","Machine11","Machine12","Machine15","Machine10","Machine8"]
OrderProcess;Order12;Durations;[32.0,22.0,24.0,13.0,13.0,11.0,11.0,25.0,13.0,15.0,33.0,17.0,16.0,38.0,24.0]
OrderProcess;Order13;Machines;["Machine15","Machine14","Machine2","Machine9","Machine3","Machine4","Machine10","Machine5","Machine1","Machine7","Machine13","Machine6","Machine11","Machine8","Machine12"]
OrderProcess;Order13;Durations;[16.0,16.0,37.0,25.0,26.0,11.0,34.0,14.0,20.0,36.0,12.0,29.0,25.0,32.0,12.0]
OrderProcess;Order14;Machines;["Machine9","Machine11","Machine12","Machine10","Machine6","Machine13","Machine8","Machine5","Machine3","Machine14","Machine15","Machine4","Machine7","Machine2","Machine1"]
OrderProcess;Order14;Durations;[20.0,24.0,27.0,38.0,34.0,39.0,33.0,37.0,31.0,15.0,34.0,33.0,26.0,36.0,14.0]
OrderProcess;Order15;Machines;["Machine9","Machine1","Machine10","Machine2","Machine11","Machine8","Machine14","Machine4","Machine6","Machine12","Machine3","Machine15","Machine7","Machine13","Machine5"]
OrderProcess;Order15;Durations;[31.0,17.0,13.0,21.0,17.0,19.0,14.0,40.0,32.0,25.0,34.0,23.0,13.0,40.0,26.0]
OrderProcess;Order16;Machines;["Machine9","Machine13","Machine4","Machine14","Machine5","Machine2","Machine7","Machine1","Machine11","Machine8","Machine10","Machine3","Machine6","Machine12","Machine15"]
OrderProcess;Order16;Durations;[38.0,17.0,14.0,17.0,12.0,35.0,35.0,19.0,36.0,19.0,29.0,31.0,26.0,35.0,37.0]
OrderProcess;Order17;Machines;["Machine15","Machine4","Machine1","Machine11","Machine6","Machine8","Machine9","Machine7","Machine13","Machine10","Machine5","Machine3","Machine12","Machine2","Machine14"]
OrderProcess;Order17;Durations;[20.0,16.0,33.0,14.0,27.0,31.0,16.0,31.0,28.0,37.0,37.0,29.0,38.0,30.0,36.0]
OrderProcess;Order18;Machines;["Machine12","Machine4","Machine15","Machine7","Machine9","Machine13","Machine14","Machine6","Machine2","Machine11","Machine8","Machine5","Machine10","Machine3","Machine1"]
OrderProcess;Order18;Durations;[18.0,37.0,16.0,15.0,14.0,11.0,32.0,12.0,11.0,29.0,19.0,12.0,18.0,26.0,39.0]
OrderProcess;Order19;Machines;["Machine12","Machine3","Machine13","Machine10","Machine15","Machine8","Machine5","Machine4","Machine6","Machine7","Machine11","Machine2","Machine1","Machine14","Machine9"]
OrderProcess;Order19;Durations;[11.0,11.0,22.0,35.0,20.0,31.0,19.0,39.0,28.0,33.0,34.0,38.0,20.0,17.0,28.0]
OrderProcess;Order20;Machines;["Machine3","Machine13","Machine6","Machine9","Machine7","Machine10","Machine15","Machine12","Machine4","Machine14","Machine8","Machine2","Machine5","Machine1","Machine11"]
OrderProcess;Order20;Durations;[12.0,25.0,23.0,21.0,27.0,30.0,23.0,39.0,26.0,34.0,17.0,24.0,12.0,19.0,36.0]
