PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;10
MachineProcess;Machine2;Jobs;10
MachineProcess;Machine3;Jobs;10
MachineProcess;Machine4;Jobs;10
MachineProcess;Machine5;Jobs;10
MachineProcess;Machine6;Jobs;10
MachineProcess;Machine7;Jobs;10
MachineProcess;Machine8;Jobs;10
MachineProcess;Machine9;Jobs;10
MachineProcess;Machine10;Jobs;10
OrderProcess;Order1;Machines;["Machine1","Machine2","Machine3","Machine4","Machine5","Machine6","Machine7","Machine8","Machine9","Machine10"]
OrderProcess;Order1;Durations;[29.0,78.0,9.0,36.0,49.0,11.0,62.0,56.0,44.0,21.0]
OrderProcess;Order2;Machines;["Machine1","Machine3","Machine5","Machine10","Machine4","Machine2","Machine7","Machine6","Machine8","Machine9"]
OrderProcess;Order2;Durations;[43.0,90.0,75.0,11.0,69.0,28.0,46.0,46.0,72.0,30.0]
OrderProcess;Order3;Machines;["Machine2","Machine1","Machine4","Machine3","Machine9","Machine6","Machine8","Machine7","Machine10","Machine5"]
OrderProcess;Order3;Durations;[91.0,85.0,39.0,74.0,90.0,10.0,12.0,89.0,45.0,33.0]
OrderProcess;Order4;Machines;["Machine2","Machine3","Machine1","Machine5","Machine7","Machine9","Machine8","Machine4","Machine10","Machine6"]
OrderProcess;Order4;Durations;[81.0,95.0,71.0,99.0,9.0,52.0,85.0,98.0,22.0,43.0]
OrderProcess;Order5;Machines;["Machine3","Machine1","Machine2","Machine6","Machine4","Machine5","Machine9","Machine8","Machine10","Machine7"]
OrderProcess;Order5;Durations;[14.0,6.0,22.0,61.0,26.0,69.0,21.0,49.0,72.0,53.0]
OrderProcess;Order6;Machines;["Machine3","Machine2","Machine6","Machine4","Machine9","Machine10","Machine1","Machine7","Machine5","Machine8"]
OrderProcess;Order6;Durations;[84.0,2.0,52.0,95.0,48.0,72.0,47.0,65.0,6.0,25.0]
OrderProcess;Order7;Machines;["Machine2","Machine1","Machine4","Machine3","Machine7","Machine6","Machine10","Machine9","Machine8","Machine5"]
OrderProcess;Order7;Durations;[46.0,37.0,61.0,13.0,32.0,21.0,32.0,89.0,30.0,55.0]
OrderProcess;Order8;Machines;["Machine3","Machine1","Machine2","Machine6","Machine5","Machine7","Machine9","Machine10","Machine8","Machine4"]
OrderProcess;Order8;Durations;[31.0,86.0,46.0,74.0,32.0,88.0,19.0,48.0,36.0,79.0]
OrderProcess;Order9;Machines;["Machine1","Machine2","Machine4","Machine6","Machine3","Machine10","Machine7","Machine8","Machine5","Machine9"]
OrderProcess;Order9;Durations;[76.0,69.0,76.0,51.0,85.0,11.0,40.0,89.0,26.0,74.0]
OrderProcess;Order10;Machines;["Machine2","Machine1","Machine3","Machine7","Machine9","Machine10","Machine6","Machine4","Machine5","Machine8"]
OrderProcess;Order10;Durations;[85.0,13.0,61.0,7.0,64.0,76.0,47.0,52.0,90.0,45.0]
