PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;10
MachineProcess;Machine2;Jobs;10
MachineProcess;Machine3;Jobs;10
MachineProcess;Machine4;Jobs;10
MachineProcess;Machine5;Jobs;10
MachineProcess;Machine6;Jobs;10
MachineProcess;Machine7;Jobs;10
MachineProcess;Machine8;Jobs;10
MachineProcess;Machine9;Jobs;10
MachineProcess;Machine10;Jobs;10
OrderProcess;Order1;Machines;["Machine1","Machine2","Machine3","Machine4","Machine5","Machine6","Machine7","Machine8","Machine9","Machine10"]
OrderProcess;Order1;Durations;[36.0,96.0,86.0,7.0,20.0,9.0,39.0,79.0,82.0,24.0]
OrderProcess;Order2;Machines;["Machine1","Machine9","Machine4","Machine6","Machine3","Machine2","Machine10","Machine7","Machine8","Machine5"]
OrderProcess;Order2;Durations;[16.0,95.0,67.0,63.0,87.0,24.0,62.0,49.0,92.0,16.0]
OrderProcess;Order3;Machines;["Machine1","Machine7","Machine2","Machine4","Machine9","Machine3","Machine6","Machine5","Machine8","Machine10"]
OrderProcess;Order3;Durations;[65.0,71.0,9.0,67.0,70.0,48.0,49.0,66.0,5.0,96.0]
OrderProcess;Order4;Machines;["Machine1","Machine2","Machine5","Machine9","Machine6","Machine8","Machine7","Machine10","Machine4","Machine3"]
OrderProcess;Order4;Durations;[50.0,31.0,6.0,13.0,98.0,97.0,93.0,30.0,34.0,83.0]
OrderProcess;Order5;Machines;["Machine1","Machine6","Machine10","Machine9","Machine8","Machine5","Machine4","Machine3","Machine2","Machine7"]
OrderProcess;Order5;Durations;[99.0,7.0,55.0,78.0,68.0,81.0,90.0,75.0,66.0,40.0]
OrderProcess;Order6;Machines;["Machine2","Machine6","Machine1","Machine10","Machine3","Machine9","Machine4","Machine7","Machine8","Machine5"]
OrderProcess;Order6;Durations;[42.0,11.0,5.0,39.0,10.0,30.0,39.0,50.0,20.0,51.0]
OrderProcess;Order7;Machines;["Machine1","Machine4","Machine9","Machine8","Machine10","Machine3","Machine5","Machine7","Machine2","Machine6"]
OrderProcess;Order7;Durations;[38.0,68.0,86.0,77.0,32.0,89.0,37.0,53.0,43.0,89.0]
OrderProcess;Order8;Machines;["Machine1","Machine10","Machine5","Machine2","Machine6","Machine8","Machine3","Machine7","Machine4","Machine9"]
OrderProcess;Order8;Durations;[19.0,11.0,37.0,41.0,72.0,7.0,52.0,31.0,68.0,10.0]
OrderProcess;Order9;Machines;["Machine1","Machine2","Machine10","Machine8","Machine9","Machine7","Machine5","Machine6","Machine3","Machine4"]
OrderProcess;Order9;Durations;[83.0,21.0,23.0,87.0,58.0,89.0,74.0,29.0,74.0,23.0]
OrderProcess;Order10;Machines;["Machine1","Machine3","Machine5","Machine10","Machine2","Machine6","Machine9","Machine4","Machine7","Machine8"]
OrderProcess;Order10;Durations;[44.0,57.0,69.0,50.0,65.0,69.0,60.0,58.0,89.0,13.0]
