PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;50
MachineProcess;Machine2;Jobs;50
MachineProcess;Machine3;Jobs;50
MachineProcess;Machine4;Jobs;50
MachineProcess;Machine5;Jobs;50
MachineProcess;Machine6;Jobs;50
MachineProcess;Machine7;Jobs;50
MachineProcess;Machine8;Jobs;50
MachineProcess;Machine9;Jobs;50
MachineProcess;Machine10;Jobs;50
OrderProcess;Order1;Machines;["Machine1","Machine5","Machine4","Machine3","Machine2","Machine6","Machine10","Machine8","Machine7","Machine9"]
OrderProcess;Order1;Durations;[92.0,47.0,56.0,91.0,49.0,39.0,63.0,12.0,1.0,37.0]
OrderProcess;Order2;Machines;["Machine1","Machine3","Machine2","Machine4","Machine5","Machine6","Machine8","Machine9","Machine10","Machine7"]
OrderProcess;Order2;Durations;[86.0,100.0,75.0,92.0,90.0,11.0,85.0,54.0,100.0,38.0]
OrderProcess;Order3;Machines;["Machine2","Machine5","Machine4","Machine3","Machine1","Machine9","Machine7","Machine10","Machine6","Machine8"]
OrderProcess;Order3;Durations;[4.0,94.0,44.0,40.0,92.0,53.0,40.0,5.0,68.0,27.0]
OrderProcess;Order4;Machines;["Machine5","Machine1","Machine2","Machine3","Machine4","Machine7","Machine8","Machine10","Machine9","Machine6"]
OrderProcess;Order4;Durations;[87.0,48.0,59.0,92.0,35.0,99.0,46.0,27.0,83.0,91.0]
OrderProcess;Order5;Machines;["Machine1","Machine2","Machine5","Machine4","Machine3","Machine9","Machine10","Machine7","Machine8","Machine6"]
OrderProcess;Order5;Durations;[83.0,78.0,76.0,64.0,44.0,12.0,91.0,31.0,98.0,63.0]
OrderProcess;Order6;Machines;["Machine4","Machine1","Machine2","Machine5","Machine3","Machine7","Machine10","Machine6","Machine8","Machine9"]
OrderProcess;Order6;Durations;[49.0,15.0,100.0,18.0,24.0,92.0,65.0,26.0,29.0,24.0]
