PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;20
MachineProcess;Machine2;Jobs;20
MachineProcess;Machine3;Jobs;20
MachineProcess;Machine4;Jobs;20
MachineProcess;Machine5;Jobs;20
MachineProcess;Machine6;Jobs;20
MachineProcess;Machine7;Jobs;20
MachineProcess;Machine8;Jobs;20
MachineProcess;Machine9;Jobs;20
MachineProcess;Machine10;Jobs;20
MachineProcess;Machine11;Jobs;20
MachineProcess;Machine12;Jobs;20
MachineProcess;Machine13;Jobs;20
MachineProcess;Machine14;Jobs;20
MachineProcess;Machine15;Jobs;20
OrderProcess;Order1;Machines;["Machine7","Machine6","Machine9","Machine5","Machine2","Machine15","Machine14","Machine12","Machine11","Machine13","Machine3","Machine4","Machine1","Machine8","Machine10"]
OrderProcess;Order1;Durations;[14.0,21.0,13.0,11.0,11.0,35.0,20.0,17.0,18.0,11.0,23.0,13.0,15.0,11.0,35.0]
OrderProcess;Order2;Machines;["Machine2","Machine6","Machine1","Machine4","Machine7","Machine10","Machine8","Machine13","Machine11","Machine14","Machine9","Machine5","Machine12","Machine15","Machine3"]
OrderProcess;Order2;Durations;[35.0,31.0,13.0,26.0,14.0,17.0,38.0,20.0,19.0,12.0,16.0,34.0,15.0,12.0,14.0]
OrderProcess;Order3;Machines;["Machine1","Machine5","Machine3","Machine11","Machine7","Machine15","Machine9","Machine14","Machine8","Machine4","Machine10","Machine13","Machine2","Machine12","Machine6"]
OrderProcess;Order3;Durations;[30.0,35.0,40.0,35.0,30.0,23.0,29.0,37.0,38.0,40.0,26.0,11.0,40.0,36.0,17.0]
OrderProcess;Order4;Machines;["Machine8","Machine6","Machine5","Machine9","Machine1","Machine10","Machine14","Machine13","Machine11","Machine4","Machine7","Machine15","Machine2","Machine12","Machine3"]
OrderProcess;Order4;Durations;[40.0,18.0,12.0,23.0,23.0,14.0,16.0,14.0,23.0,12.0,16.0,32.0,40.0,25.0,29.0]
OrderProcess;Order5;Machines;["Machine3","Machine4","Machine13","Machine12","Machine7","Machine5","Machine11","Machine8","Machine1","Machine14","Machine2","Machine15","Machine6","Machine10","Machine9"]
OrderProcess;Order5;Durations;[35.0,15.0,31.0,28.0,32.0,30.0,27.0,29.0,38.0,11.0,23.0,17.0,27.0,37.0,29.0]
OrderProcess;Order6;Machines;["Machine6","Machine4","Machine7","Machine13","Machine11","Machine1","Machine14","Machine3","Machine12","Machine8","Machine5","Machine2","Machine15","Machine10","Machine9"]
OrderProcess;Order6;Durations;[33.0,33.0,19.0,40.0,19.0,33.0,26.0,31.0,28.0,36.0,38.0,21.0,25.0,40.0,35.0]
OrderProcess;Order7;Machines;["Machine14","Machine1","Machine12","Machine13","Machine5","Machine7","Machine6","Machine4","Machine10","Machine3","Machine8","Machine11","Machine2","Machine15","Machine9"]
OrderProcess;Order7;Durations;[25.0,32.0,33.0,18.0,32.0,28.0,15.0,35.0,14.0,34.0,23.0,32.0,17.0,26.0,19.0]
OrderProcess;Order8;Machines;["Machine3","Machine13","Machine10","Machine12","Machine14","Machine9","Machine15","Machine6","Machine7","Machine4","Machine2","Machine5","Machine1","Machine8","Machine11"]
OrderProcess;Order8;Durations;[16.0,33.0,34.0,30.0,40.0,12.0,26.0,26.0,15.0,21.0,40.0,32.0,14.0,30.0,35.0]
OrderProcess;Order9;Machines;["Machine3","Machine11","Machine15","Machine7","Machine9","Machine4","Machine13","Machine1","Machine14","Machine10","Machine8","Machine2","Machine12","Machine5","Machine6"]
OrderProcess;Order9;Durations;[17.0,16.0,20.0,24.0,26.0,36.0,22.0,14.0,11.0,20.0,23.0,29.0,23.0,15.0,40.0]
OrderProcess;Order10;Machines;["Machine5","Machine10","Machine4","Machine12","Machine14","Machine8","Machine1","Machine3","Machine6","Machine13","Machine2","Machine11","Machine15","Machine9","Machine7"]
OrderProcess;Order10;Durations;[27.0,37.0,40.0,14.0,25.0,30.0,34.0,11.0,15.0,32.0,36.0,12.0,28.0,31.0,23.0]
OrderProcess;Order11;Machines;["Machine14","Machine1","Machine4","Machine9","Machine6","Machine7","Machine15","Machine8","Machine2","Machine3","Machine5","Machine10","Machine13","Machine12","Machine11"]
OrderProcess;Order11;Durations;[25.0,22.0,27.0,14.0,25.0,20.0,18.0,14.0,19.0,17.0,27.0,22.0,22.0,27.0,21.0]
OrderProcess;Order12;Machines;["Machine15","Machine11","Machine1","Machine4","Machine14","Machine7","Machine8","Machine3","Machine13","Machine6","Machine5","Machine12","Machine2","Machine9","Machine10"]
OrderProcess;Order12;Durations;[34.0,15.0,22.0,29.0,34.0,40.0,17.0,32.0,20.0,39.0,31.0,16.0,37.0,33.0,13.0]
OrderProcess;Order13;Machines;["Machine7","Machine13","Machine5","Machine3","Machine9","Machine6","Machine15","Machine4","Machine10","Machine2","Machine12","Machine14","Machine8","Machine11","Machine1"]
OrderProcess;Order13;Durations;[12.0,27.0,17.0,24.0,11.0,19.0,11.0,17.0,25.0,11.0,31.0,33.0,31.0,12.0,22.0]
OrderProcess;Order14;Machines;["Machine6","Machine15","Machine1","Machine9","Machine8","Machine5","Machine10","Machine14","Machine2","Machine13","Machine7","Machine12","Machine4","Machine11","Machine3"]
OrderProcess;Order14;Durations;[22.0,15.0,16.0,32.0,20.0,22.0,11.0,19.0,30.0,33.0,29.0,18.0,34.0,32.0,18.0]
OrderProcess;Order15;Machines;["Machine6","Machine4","Machine11","Machine7","Machine5","Machine13","Machine12","Machine14","Machine8","Machine10","Machine15","Machine2","Machine3","Machine1","Machine9"]
OrderProcess;Order15;Durations;[27.0,26.0,28.0,37.0,18.0,12.0,11.0,26.0,27.0,40.0,19.0,24.0,18.0,12.0,34.0]
OrderProcess;Order16;Machines;["Machine9","Machine6","Machine10","Machine7","Machine2","Machine8","Machine12","Machine3","Machine5","Machine1","Machine11","Machine4","Machine13","Machine15","Machine14"]
OrderProcess;Order16;Durations;[15.0,28.0,25.0,32.0,13.0,38.0,11.0,34.0,25.0,20.0,32.0,23.0,14.0,16.0,20.0]
OrderProcess;Order17;Machines;["Machine2","Machine5","Machine9","Machine4","Machine11","Machine6","Machine13","Machine8","Machine10","Machine15","Machine12","Machine14","Machine1","Machine3","Machine7"]
OrderProcess;Order17;Durations;[15.0,13.0,37.0,14.0,22.0,24.0,26.0,22.0,34.0,22.0,19.0,32.0,29.0,13.0,35.0]
OrderProcess;Order18;Machines;["Machine8","Machine6","Machine14","Machine10","Machine11","Machine5","Machine15","Machine1","Machine4","Machine12","Machine7","Machine9","Machine2","Machine3","Machine13"]
OrderProcess;Order18;Durations;[36.0,33.0,28.0,20.0,30.0,33.0,29.0,34.0,22.0,12.0,30.0,12.0,35.0,13.0,35.0]
OrderProcess;Order19;Machines;["Machine15","Machine12","Machine6","Machine3","Machine14","Machine11","Machine5","Machine9","Machine4","Machine10","Machine7","Machine8","Machine1","Machine2","Machine13"]
OrderProcess;Order19;Durations;[26.0,31.0,35.0,38.0,19.0,35.0,27.0,29.0,39.0,13.0,14.0,26.0,17.0,22.0,15.0]
OrderProcess;Order20;Machines;["Machine2","Machine8","Machine12","Machine9","Machine15","Machine7","Machine6","Machine4","Machine14","Machine3","Machine1","Machine5","Machine10","Machine13","Machine11"]
OrderProcess;Order20;Durations;[36.0,34.0,33.0,17.0,38.0,39.0,16.0,27.0,29.0,16.0,16.0,19.0,40.0,35.0,39.0]
