PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;10
MachineProcess;Machine2;Jobs;10
MachineProcess;Machine3;Jobs;10
MachineProcess;Machine4;Jobs;10
MachineProcess;Machine5;Jobs;10
MachineProcess;Machine6;Jobs;10
MachineProcess;Machine7;Jobs;10
MachineProcess;Machine8;Jobs;10
MachineProcess;Machine9;Jobs;10
MachineProcess;Machine10;Jobs;10
OrderProcess;Order1;Machines;["Machine7","Machine2","Machine5","Machine3","Machine9","Machine4","Machine1","Machine6","Machine10","Machine8"]
OrderProcess;Order1;Durations;[9.0,81.0,55.0,40.0,32.0,37.0,6.0,19.0,81.0,40.0]
OrderProcess;Order2;Machines;["Machine8","Machine3","Machine10","Machine5","Machine2","Machine6","Machine9","Machine1","Machine4","Machine7"]
OrderProcess;Order2;Durations;[21.0,70.0,65.0,64.0,46.0,65.0,25.0,77.0,55.0,15.0]
OrderProcess;Order3;Machines;["Machine3","Machine6","Machine1","Machine4","Machine2","Machine7","Machine5","Machine9","Machine8","Machine10"]
OrderProcess;Order3;Durations;[85.0,37.0,40.0,24.0,44.0,83.0,89.0,31.0,84.0,29.0]
OrderProcess;Order4;Machines;["Machine5","Machine7","Machine8","Machine1","Machine3","Machine6","Machine4","Machine2","Machine10","Machine9"]
OrderProcess;Order4;Durations;[80.0,77.0,56.0,8.0,30.0,59.0,38.0,80.0,41.0,97.0]
OrderProcess;Order5;Machines;["Machine1","Machine7","Machine5","Machine2","Machine3","Machine4","Machine10","Machine9","Machine6","Machine8"]
OrderProcess;Order5;Durations;[91.0,40.0,88.0,17.0,71.0,50.0,59.0,80.0,56.0,7.0]
OrderProcess;Order6;Machines;["Machine3","Machine7","Machine4","Machine6","Machine2","Machine9","Machine1","Machine10","Machine5","Machine8"]
OrderProcess;Order6;Durations;[8.0,9.0,58.0,77.0,29.0,96.0,45.0,10.0,54.0,36.0]
OrderProcess;Order7;Machines;["Machine5","Machine4","Machine2","Machine6","Machine7","Machine8","Machine9","Machine10","Machine1","Machine3"]
OrderProcess;Order7;Durations;[70.0,92.0,98.0,87.0,99.0,27.0,86.0,96.0,28.0,73.0]
OrderProcess;Order8;Machines;["Machine2","Machine8","Machine4","Machine5","Machine7","Machine10","Machine9","Machine1","Machine3","Machine6"]
OrderProcess;Order8;Durations;[95.0,92.0,85.0,52.0,81.0,32.0,39.0,59.0,41.0,56.0]
OrderProcess;Order9;Machines;["Machine4","Machine9","Machine1","Machine3","Machine2","Machine6","Machine5","Machine10","Machine8","Machine7"]
OrderProcess;Order9;Durations;[60.0,45.0,88.0,12.0,7.0,22.0,93.0,49.0,69.0,27.0]
OrderProcess;Order10;Machines;["Machine1","Machine3","Machine4","Machine6","Machine7","Machine10","Machine9","Machine5","Machine8","Machine2"]
OrderProcess;Order10;Durations;[21.0,61.0,68.0,26.0,82.0,71.0,44.0,99.0,33.0,84.0]
