PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;10
MachineProcess;Machine2;Jobs;10
MachineProcess;Machine3;Jobs;10
MachineProcess;Machine4;Jobs;10
MachineProcess;Machine5;Jobs;10
MachineProcess;Machine6;Jobs;10
MachineProcess;Machine7;Jobs;10
MachineProcess;Machine8;Jobs;10
MachineProcess;Machine9;Jobs;10
MachineProcess;Machine10;Jobs;10
OrderProcess;Order1;Machines;["Machine10","Machine9","Machine1","Machine8","Machine7","Machine6","Machine4","Machine3","Machine5","Machine2"]
OrderProcess;Order1;Durations;[11.0,93.0,48.0,76.0,13.0,71.0,59.0,90.0,10.0,65.0]
OrderProcess;Order2;Machines;["Machine9","Machine10","Machine1","Machine8","Machine6","Machine5","Machine7","Machine3","Machine4","Machine2"]
OrderProcess;Order2;Durations;[52.0,76.0,84.0,73.0,56.0,10.0,26.0,43.0,39.0,49.0]
OrderProcess;Order3;Machines;["Machine10","Machine9","Machine8","Machine7","Machine5","Machine6","Machine4","Machine3","Machine2","Machine1"]
OrderProcess;Order3;Durations;[28.0,44.0,26.0,66.0,68.0,74.0,27.0,14.0,6.0,21.0]
OrderProcess;Order4;Machines;["Machine1","Machine2","Machine4","Machine3","Machine7","Machine5","Machine6","Machine8","Machine9","Machine10"]
OrderProcess;Order4;Durations;[18.0,58.0,62.0,46.0,25.0,6.0,60.0,28.0,80.0,30.0]
OrderProcess;Order5;Machines;["Machine1","Machine2","Machine8","Machine6","Machine5","Machine7","Machine4","Machine3","Machine9","Machine10"]
OrderProcess;Order5;Durations;[78.0,47.0,29.0,16.0,29.0,57.0,78.0,87.0,39.0,73.0]
OrderProcess;Order6;Machines;["Machine10","Machine9","Machine4","Machine8","Machine6","Machine5","Machine7","Machine3","Machine2","Machine1"]
OrderProcess;Order6;Durations;[66.0,51.0,12.0,64.0,67.0,15.0,66.0,26.0,20.0,98.0]
OrderProcess;Order7;Machines;["Machine9","Machine10","Machine7","Machine8","Machine6","Machine4","Machine5","Machine3","Machine2","Machine1"]
OrderProcess;Order7;Durations;[23.0,76.0,45.0,75.0,24.0,18.0,83.0,15.0,88.0,17.0]
OrderProcess;Order8;Machines;["Machine10","Machine9","Machine8","Machine7","Machine5","Machine6","Machine4","Machine3","Machine2","Machine1"]
OrderProcess;Order8;Durations;[56.0,83.0,80.0,16.0,31.0,93.0,30.0,29.0,66.0,28.0]
OrderProcess;Order9;Machines;["Machine10","Machine9","Machine3","Machine5","Machine6","Machine4","Machine7","Machine8","Machine1","Machine2"]
OrderProcess;Order9;Durations;[79.0,69.0,82.0,16.0,62.0,41.0,91.0,35.0,34.0,75.0]
OrderProcess;Order10;Machines;["Machine1","Machine2","Machine3","Machine4","Machine5","Machine6","Machine7","Machine8","Machine9","Machine10"]
OrderProcess;Order10;Durations;[5.0,19.0,20.0,12.0,94.0,60.0,99.0,31.0,96.0,63.0]
