PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;50
MachineProcess;Machine2;Jobs;50
MachineProcess;Machine3;Jobs;50
MachineProcess;Machine4;Jobs;50
MachineProcess;Machine5;Jobs;50
MachineProcess;Machine6;Jobs;50
MachineProcess;Machine7;Jobs;50
MachineProcess;Machine8;Jobs;50
MachineProcess;Machine9;Jobs;50
MachineProcess;Machine10;Jobs;50
OrderProcess;Order1;Machines;["Machine5","Machine1","Machine4","Machine2","Machine3","Machine10","Machine6","Machine9","Machine8","Machine7"]
OrderProcess;Order1;Durations;[69.0,37.0,64.0,1.0,65.0,34.0,67.0,43.0,72.0,79.0]
OrderProcess;Order2;Machines;["Machine2","Machine1","Machine4","Machine5","Machine3","Machine7","Machine10","Machine8","Machine9","Machine6"]
OrderProcess;Order2;Durations;[11.0,7.0,68.0,43.0,52.0,29.0,71.0,81.0,12.0,36.0]
OrderProcess;Order3;Machines;["Machine5","Machine4","Machine2","Machine3","Machine1","Machine9","Machine6","Machine10","Machine8","Machine7"]
OrderProcess;Order3;Durations;[90.0,29.0,1.0,1.0,14.0,38.0,13.0,21.0,41.0,97.0]
OrderProcess;Order4;Machines;["Machine2","Machine1","Machine5","Machine3","Machine4","Machine10","Machine9","Machine8","Machine6","Machine7"]
OrderProcess;Order4;Durations;[46.0,26.0,83.0,36.0,20.0,4.0,23.0,65.0,56.0,42.0]
OrderProcess;Order5;Machines;["Machine5","Machine1","Machine3","Machine4","Machine2","Machine10","Machine8","Machine9","Machine7","Machine6"]
OrderProcess;Order5;Durations;[46.0,39.0,92.0,53.0,62.0,68.0,65.0,74.0,87.0,46.0]
OrderProcess;Order6;Machines;["Machine5","Machine2","Machine4","Machine3","Machine1","Machine7","Machine10","Machine6","Machine8","Machine9"]
OrderProcess;Order6;Durations;[13.0,44.0,43.0,67.0,75.0,5.0,94.0,95.0,28.0,85.0]
