PROCESS_ID; INSTANCE_ID; ATTRIBUTE_ID; VALUE
MachineProcess;Machine1;Jobs;20
MachineProcess;Machine2;Jobs;20
MachineProcess;Machine3;Jobs;20
MachineProcess;Machine4;Jobs;20
MachineProcess;Machine5;Jobs;20
MachineProcess;Machine6;Jobs;20
MachineProcess;Machine7;Jobs;20
MachineProcess;Machine8;Jobs;20
MachineProcess;Machine9;Jobs;20
MachineProcess;Machine10;Jobs;20
MachineProcess;Machine11;Jobs;20
MachineProcess;Machine12;Jobs;20
MachineProcess;Machine13;Jobs;20
MachineProcess;Machine14;Jobs;20
MachineProcess;Machine15;Jobs;20
MachineProcess;Machine16;Jobs;20
MachineProcess;Machine17;Jobs;20
MachineProcess;Machine18;Jobs;20
MachineProcess;Machine19;Jobs;20
MachineProcess;Machine20;Jobs;20
OrderProcess;Order1;Machines;["Machine18","Machine3","Machine12","Machine5","Machine13","Machine14","Machine8","Machine1","Machine4","Machine16","Machine19","Machine11","Machine15","Machine9","Machine2","Machine7","Machine20","Machine6","Machine10","Machine17"]
OrderProcess;Order1;Durations;[15.0,28.0,10.0,46.0,19.0,13.0,18.0,14.0,11.0,21.0,30.0,29.0,16.0,41.0,40.0,38.0,28.0,39.0,39.0,28.0]
OrderProcess;Order2;Machines;["Machine9","Machine7","Machine15","Machine6","Machine11","Machine3","Machine12","Machine20","Machine14","Machine19","Machine4","Machine5","Machine17","Machine2","Machine1","Machine16","Machine18","Machine13","Machine8","Machine10"]
OrderProcess;Order2;Durations;[32.0,46.0,35.0,14.0,44.0,20.0,12.0,23.0,22.0,15.0,35.0,27.0,26.0,27.0,23.0,27.0,31.0,31.0,31.0,24.0]
OrderProcess;Order3;Machines;["Machine5","Machine4","Machine9","Machine18","Machine1","Machine15","Machine2","Machine11","Machine14","Machine7","Machine19","Machine10","Machine12","Machine8","Machine17","Machine6","Machine16","Machine3","Machine13","Machine20"]
OrderProcess;Order3;Durations;[34.0,44.0,43.0,32.0,35.0,34.0,21.0,46.0,15.0,10.0,24.0,37.0,38.0,41.0,34.0,32.0,11.0,36.0,45.0,23.0]
OrderProcess;Order4;Machines;["Machine5","Machine11","Machine4","Machine7","Machine19","Machine13","Machine3","Machine16","Machine20","Machine8","Machine14","Machine6","Machine10","Machine15","Machine18","Machine2","Machine9","Machine1","Machine17","Machine12"]
OrderProcess;Order4;Durations;[34.0,23.0,41.0,10.0,40.0,46.0,27.0,13.0,20.0,40.0,28.0,44.0,34.0,21.0,27.0,12.0,37.0,30.0,48.0,34.0]
OrderProcess;Order5;Machines;["Machine20","Machine2","Machine6","Machine10","Machine8","Machine17","Machine12","Machine13","Machine15","Machine9","Machine5","Machine3","Machine16","Machine14","Machine18","Machine19","Machine11","Machine1","Machine7","Machine4"]
OrderProcess;Order5;Durations;[22.0,14.0,22.0,10.0,45.0,38.0,32.0,38.0,16.0,20.0,12.0,40.0,33.0,35.0,32.0,15.0,31.0,49.0,19.0,33.0]
OrderProcess;Order6;Machines;["Machine14","Machine3","Machine4","Machine8","Machine13","Machine15","Machine9","Machine20","Machine7","Machine17","Machine12","Machine5","Machine1","Machine6","Machine10","Machine18","Machine2","Machine11","Machine16","Machine19"]
OrderProcess;Order6;Durations;[32.0,37.0,28.0,16.0,40.0,37.0,10.0,20.0,17.0,48.0,44.0,29.0,44.0,48.0,21.0,31.0,36.0,43.0,20.0,43.0]
OrderProcess;Order7;Machines;["Machine10","Machine6","Machine19","Machine17","Machine13","Machine4","Machine3","Machine11","Machine5","Machine12","Machine2","Machine18","Machine7","Machine14","Machine15","Machine16","Machine9","Machine1","Machine8","Machine20"]
OrderProcess;Order7;Durations;[13.0,22.0,33.0,28.0,39.0,16.0,34.0,20.0,47.0,43.0,44.0,29.0,22.0,14.0,28.0,44.0,33.0,28.0,14.0,40.0]
OrderProcess;Order8;Machines;["Machine10","Machine7","Machine2","Machine6","Machine3","Machine8","Machine17","Machine13","Machine14","Machine18","Machine11","Machine19","Machine20","Machine9","Machine16","Machine5","Machine12","Machine15","Machine1","Machine4"]
OrderProcess;Order8;Durations;[19.0,49.0,11.0,13.0,47.0,22.0,27.0,26.0,47.0,37.0,19.0,43.0,41.0,34.0,21.0,30.0,32.0,45.0,32.0,22.0]
OrderProcess;Order9;Machines;["Machine8","Machine13","Machine9","Machine1","Machine14","Machine11","Machine10","Machine19","Machine3","Machine18","Machine4","Machine6","Machine7","Machine16","Machine15","Machine2","Machine12","Machine5","Machine20","Machine17"]
OrderProcess;Order9;Durations;[30.0,18.0,41.0,34.0,22.0,11.0,29.0,37.0,30.0,25.0,27.0,31.0,16.0,20.0,26.0,14.0,24.0,43.0,22.0,22.0]
OrderProcess;Order10;Machines;["Machine17","Machine8","Machine16","Machine7","Machine19","Machine20","Machine10","Machine12","Machine18","Machine5","Machine11","Machine3","Machine2","Machine1","Machine15","Machine14","Machine4","Machine13","Machine6","Machine9"]
OrderProcess;Order10;Durations;[30.0,31.0,15.0,13.0,47.0,18.0,33.0,30.0,46.0,48.0,42.0,18.0,16.0,25.0,43.0,21.0,27.0,14.0,48.0,39.0]
OrderProcess;Order11;Machines;["Machine19","Machine18","Machine13","Machine16","Machine14","Machine5","Machine17","Machine20","Machine8","Machine4","Machine7","Machine11","Machine12","Machine1","Machine2","Machine9","Machine10","Machine6","Machine3","Machine15"]
OrderProcess;Order11;Durations;[21.0,18.0,20.0,28.0,20.0,36.0,24.0,35.0,22.0,36.0,39.0,34.0,49.0,36.0,38.0,46.0,44.0,13.0,26.0,32.0]
OrderProcess;Order12;Machines;["Machine10","Machine2","Machine3","Machine12","Machine14","Machine1","Machine13","Machine11","Machine7","Machine6","Machine8","Machine20","Machine4","Machine15","Machine18","Machine5","Machine19","Machine9","Machine16","Machine17"]
OrderProcess;Order12;Durations;[11.0,10.0,41.0,10.0,26.0,26.0,13.0,35.0,22.0,11.0,24.0,33.0,11.0,34.0,11.0,22.0,12.0,17.0,39.0,24.0]
OrderProcess;Order13;Machines;["Machine2","Machine16","Machine3","Machine15","Machine5","Machine13","Machine19","Machine20","Machine14","Machine12","Machine6","Machine1","Machine8","Machine18","Machine9","Machine11","Machine17","Machine4","Machine10","Machine7"]
OrderProcess;Order13;Durations;[43.0,28.0,49.0,34.0,46.0,29.0,31.0,40.0,24.0,47.0,15.0,26.0,40.0,46.0,18.0,16.0,14.0,21.0,41.0,26.0]
OrderProcess;Order14;Machines;["Machine17","Machine7","Machine18","Machine11","Machine4","Machine13","Machine5","Machine9","Machine15","Machine19","Machine8","Machine1","Machine10","Machine3","Machine16","Machine6","Machine14","Machine20","Machine12","Machine2"]
OrderProcess;Order14;Durations;[14.0,47.0,49.0,16.0,31.0,43.0,20.0,25.0,10.0,49.0,32.0,36.0,19.0,23.0,20.0,15.0,34.0,33.0,37.0,48.0]
OrderProcess;Order15;Machines;["Machine5","Machine12","Machine8","Machine7","Machine1","Machine15","Machine18","Machine20","Machine17","Machine11","Machine16","Machine14","Machine3","Machine9","Machine6","Machine10","Machine2","Machine19","Machine13","Machine4"]
OrderProcess;Order15;Durations;[31.0,42.0,24.0,13.0,30.0,24.0,19.0,34.0,35.0,42.0,10.0,40.0,39.0,42.0,38.0,12.0,27.0,40.0,19.0,27.0]
OrderProcess;Order16;Machines;["Machine7","Machine6","Machine14","Machine16","Machine3","Machine10","Machine8","Machine1","Machine2","Machine13","Machine20","Machine15","Machine4","Machine9","Machine11","Machine12","Machine5","Machine17","Machine19","Machine18"]
OrderProcess;Order16;Durations;[39.0,41.0,45.0,40.0,46.0,48.0,37.0,30.0,31.0,16.0,29.0,44.0,41.0,35.0,47.0,21.0,10.0,48.0,38.0,27.0]
OrderProcess;Order17;Machines;["Machine17","Machine2","Machine9","Machine19","Machine1","Machine18","Machine11","Machine13","Machine8","Machine4","Machine6","Machine5","Machine14","Machine7","Machine3","Machine16","Machine12","Machine10","Machine15","Machine20"]
OrderProcess;Order17;Durations;[32.0,30.0,17.0,21.0,14.0,37.0,15.0,31.0,27.0,25.0,41.0,48.0,48.0,36.0,30.0,45.0,26.0,17.0,17.0,40.0]
OrderProcess;Order18;Machines;["Machine19","Machine18","Machine5","Machine3","Machine11","Machine16","Machine2","Machine4","Machine8","Machine13","Machine6","Machine10","Machine9","Machine15","Machine12","Machine7","Machine17","Machine1","Machine14","Machine20"]
OrderProcess;Order18;Durations;[16.0,36.0,34.0,47.0,14.0,24.0,10.0,14.0,14.0,30.0,23.0,37.0,11.0,23.0,40.0,15.0,10.0,46.0,37.0,28.0]
OrderProcess;Order19;Machines;["Machine18","Machine14","Machine12","Machine17","Machine8","Machine9","Machine4","Machine6","Machine5","Machine3","Machine15","Machine1","Machine11","Machine7","Machine13","Machine2","Machine20","Machine16","Machine10","Machine19"]
OrderProcess;Order19;Durations;[13.0,28.0,18.0,43.0,46.0,39.0,30.0,15.0,38.0,38.0,45.0,44.0,16.0,29.0,33.0,20.0,35.0,34.0,16.0,40.0]
OrderProcess;Order20;Machines;["Machine18","Machine3","Machine1","Machine16","Machine19","Machine4","Machine15","Machine7","Machine8","Machine13","Machine14","Machine17","Machine2","Machine5","Machine11","Machine10","Machine6","Machine20","Machine12","Machine9"]
OrderProcess;Order20;Durations;[14.0,30.0,27.0,47.0,43.0,17.0,13.0,43.0,45.0,32.0,13.0,48.0,10.0,14.0,42.0,38.0,43.0,22.0,43.0,23.0]
