From,To,Distance
Location1,Location2,3.0
Location1,Location3,5.0
Location1,Location4,48.0
Location1,Location5,48.0
Location1,Location6,8.0
Location1,Location7,8.0
Location1,Location8,5.0
Location1,Location9,5.0
Location1,Location10,3.0
Location1,Location11,3.0
Location1,Location12,0.0
Location1,Location13,3.0
Location1,Location14,5.0
Location1,Location15,8.0
Location1,Location16,8.0
Location1,Location17,5.0
Location2,Location1,3.0
Location2,Location3,3.0
Location2,Location4,48.0
Location2,Location5,48.0
Location2,Location6,8.0
Location2,Location7,8.0
Location2,Location8,5.0
Location2,Location9,5.0
Location2,Location10,0.0
Location2,Location11,0.0
Location2,Location12,3.0
Location2,Location13,0.0
Location2,Location14,3.0
Location2,Location15,8.0
Location2,Location16,8.0
Location2,Location17,5.0
Location3,Location1,5.0
Location3,Location2,3.0
Location3,Location4,72.0
Location3,Location5,72.0
Location3,Location6,48.0
Location3,Location7,48.0
Location3,Location8,24.0
Location3,Location9,24.0
Location3,Location10,3.0
Location3,Location11,3.0
Location3,Location12,5.0
Location3,Location13,3.0
Location3,Location14,0.0
Location3,Location15,48.0
Location3,Location16,48.0
Location3,Location17,24.0
Location4,Location1,48.0
Location4,Location2,48.0
Location4,Location3,74.0
Location4,Location5,0.0
Location4,Location6,6.0
Location4,Location7,6.0
Location4,Location8,12.0
Location4,Location9,12.0
Location4,Location10,48.0
Location4,Location11,48.0
Location4,Location12,48.0
Location4,Location13,48.0
Location4,Location14,74.0
Location4,Location15,6.0
Location4,Location16,6.0
Location4,Location17,12.0
Location5,Location1,48.0
Location5,Location2,48.0
Location5,Location3,74.0
Location5,Location4,0.0
Location5,Location6,6.0
Location5,Location7,6.0
Location5,Location8,12.0
Location5,Location9,12.0
Location5,Location10,48.0
Location5,Location11,48.0
Location5,Location12,48.0
Location5,Location13,48.0
Location5,Location14,74.0
Location5,Location15,6.0
Location5,Location16,6.0
Location5,Location17,12.0
Location6,Location1,8.0
Location6,Location2,8.0
Location6,Location3,50.0
Location6,Location4,6.0
Location6,Location5,6.0
Location6,Location7,0.0
Location6,Location8,8.0
Location6,Location9,8.0
Location6,Location10,8.0
Location6,Location11,8.0
Location6,Location12,8.0
Location6,Location13,8.0
Location6,Location14,50.0
Location6,Location15,0.0
Location6,Location16,0.0
Location6,Location17,8.0
Location7,Location1,8.0
Location7,Location2,8.0
Location7,Location3,50.0
Location7,Location4,6.0
Location7,Location5,6.0
Location7,Location6,0.0
Location7,Location8,8.0
Location7,Location9,8.0
Location7,Location10,8.0
Location7,Location11,8.0
Location7,Location12,8.0
Location7,Location13,8.0
Location7,Location14,50.0
Location7,Location15,0.0
Location7,Location16,0.0
Location7,Location17,8.0
Location8,Location1,5.0
Location8,Location2,5.0
Location8,Location3,26.0
Location8,Location4,12.0
Location8,Location5,12.0
Location8,Location6,8.0
Location8,Location7,8.0
Location8,Location9,0.0
Location8,Location10,5.0
Location8,Location11,5.0
Location8,Location12,5.0
Location8,Location13,5.0
Location8,Location14,26.0
Location8,Location15,8.0
Location8,Location16,8.0
Location8,Location17,0.0
Location9,Location1,5.0
Location9,Location2,5.0
Location9,Location3,26.0
Location9,Location4,12.0
Location9,Location5,12.0
Location9,Location6,8.0
Location9,Location7,8.0
Location9,Location8,0.0
Location9,Location10,5.0
Location9,Location11,5.0
Location9,Location12,5.0
Location9,Location13,5.0
Location9,Location14,26.0
Location9,Location15,8.0
Location9,Location16,8.0
Location9,Location17,0.0
Location10,Location1,3.0
Location10,Location2,0.0
Location10,Location3,3.0
Location10,Location4,48.0
Location10,Location5,48.0
Location10,Location6,8.0
Location10,Location7,8.0
Location10,Location8,5.0
Location10,Location9,5.0
Location10,Location11,0.0
Location10,Location12,3.0
Location10,Location13,0.0
Location10,Location14,3.0
Location10,Location15,8.0
Location10,Location16,8.0
Location10,Location17,5.0
Location11,Location1,3.0
Location11,Location2,0.0
Location11,Location3,3.0
Location11,Location4,48.0
Location11,Location5,48.0
Location11,Location6,8.0
Location11,Location7,8.0
Location11,Location8,5.0
Location11,Location9,5.0
Location11,Location10,0.0
Location11,Location12,3.0
Location11,Location13,0.0
Location11,Location14,3.0
Location11,Location15,8.0
Location11,Location16,8.0
Location11,Location17,5.0
Location12,Location1,0.0
Location12,Location2,3.0
Location12,Location3,5.0
Location12,Location4,48.0
Location12,Location5,48.0
Location12,Location6,8.0
Location12,Location7,8.0
Location12,Location8,5.0
Location12,Location9,5.0
Location12,Location10,3.0
Location12,Location11,3.0
Location12,Location13,3.0
Location12,Location14,5.0
Location12,Location15,8.0
Location12,Location16,8.0
Location12,Location17,5.0
Location13,Location1,3.0
Location13,Location2,0.0
Location13,Location3,3.0
Location13,Location4,48.0
Location13,Location5,48.0
Location13,Location6,8.0
Location13,Location7,8.0
Location13,Location8,5.0
Location13,Location9,5.0
Location13,Location10,0.0
Location13,Location11,0.0
Location13,Location12,3.0
Location13,Location14,3.0
Location13,Location15,8.0
Location13,Location16,8.0
Location13,Location17,5.0
Location14,Location1,5.0
Location14,Location2,3.0
Location14,Location3,0.0
Location14,Location4,72.0
Location14,Location5,72.0
Location14,Location6,48.0
Location14,Location7,48.0
Location14,Location8,24.0
Location14,Location9,24.0
Location14,Location10,3.0
Location14,Location11,3.0
Location14,Location12,5.0
Location14,Location13,3.0
Location14,Location15,48.0
Location14,Location16,48.0
Location14,Location17,24.0
Location15,Location1,8.0
Location15,Location2,8.0
Location15,Location3,50.0
Location15,Location4,6.0
Location15,Location5,6.0
Location15,Location6,0.0
Location15,Location7,0.0
Location15,Location8,8.0
Location15,Location9,8.0
Location15,Location10,8.0
Location15,Location11,8.0
Location15,Location12,8.0
Location15,Location13,8.0
Location15,Location14,50.0
Location15,Location16,0.0
Location15,Location17,8.0
Location16,Location1,8.0
Location16,Location2,8.0
Location16,Location3,50.0
Location16,Location4,6.0
Location16,Location5,6.0
Location16,Location6,0.0
Location16,Location7,0.0
Location16,Location8,8.0
Location16,Location9,8.0
Location16,Location10,8.0
Location16,Location11,8.0
Location16,Location12,8.0
Location16,Location13,8.0
Location16,Location14,50.0
Location16,Location15,0.0
Location16,Location17,8.0
Location17,Location1,5.0
Location17,Location2,5.0
Location17,Location3,26.0
Location17,Location4,12.0
Location17,Location5,12.0
Location17,Location6,8.0
Location17,Location7,8.0
Location17,Location8,0.0
Location17,Location9,0.0
Location17,Location10,5.0
Location17,Location11,5.0
Location17,Location12,5.0
Location17,Location13,5.0
Location17,Location14,26.0
Location17,Location15,8.0
Location17,Location16,8.0
