From,To,Distance
Location1,Location2,26.0
Location1,Location3,82.0
Location1,Location4,65.0
Location1,Location5,102.0
Location1,Location6,100.0
Location1,Location7,147.0
Location1,Location8,134.0
Location1,Location9,75.0
Location1,Location10,69.0
Location1,Location11,117.0
Location1,Location12,42.0
Location1,Location13,89.0
Location1,Location14,125.0
Location1,Location15,38.0
Location1,Location16,40.0
Location1,Location17,13.0
Location1,Location18,38.0
Location1,Location19,31.0
Location1,Location20,22.0
Location1,Location21,103.0
Location1,Location22,143.0
Location1,Location23,94.0
Location1,Location24,104.0
Location1,Location25,123.0
Location1,Location26,140.0
Location1,Location27,98.0
Location1,Location28,58.0
Location1,Location29,38.0
Location1,Location30,30.0
Location1,Location31,67.0
Location1,Location32,120.0
Location1,Location33,149.0
Location1,Location34,100.0
Location1,Location35,141.0
Location1,Location36,93.0
Location1,Location37,162.0
Location1,Location38,62.0
Location1,Location39,66.0
Location2,Location1,66.0
Location2,Location3,56.0
Location2,Location4,39.0
Location2,Location5,76.0
Location2,Location6,109.0
Location2,Location7,156.0
Location2,Location8,140.0
Location2,Location9,141.0
Location2,Location10,135.0
Location2,Location11,183.0
Location2,Location12,108.0
Location2,Location13,155.0
Location2,Location14,190.0
Location2,Location15,104.0
Location2,Location16,76.0
Location2,Location17,79.0
Location2,Location18,104.0
Location2,Location19,97.0
Location2,Location20,88.0
Location2,Location21,130.0
Location2,Location22,176.0
Location2,Location23,121.0
Location2,Location24,131.0
Location2,Location25,150.0
Location2,Location26,167.0
Location2,Location27,125.0
Location2,Location28,85.0
Location2,Location29,65.0
Location2,Location30,57.0
Location2,Location31,94.0
Location2,Location32,147.0
Location2,Location33,160.0
Location2,Location34,80.0
Location2,Location35,162.0
Location2,Location36,67.0
Location2,Location37,189.0
Location2,Location38,128.0
Location2,Location39,40.0
Location3,Location1,43.0
Location3,Location2,57.0
Location3,Location4,16.0
Location3,Location5,20.0
Location3,Location6,53.0
Location3,Location7,100.0
Location3,Location8,84.0
Location3,Location9,87.0
Location3,Location10,107.0
Location3,Location11,155.0
Location3,Location12,85.0
Location3,Location13,132.0
Location3,Location14,168.0
Location3,Location15,81.0
Location3,Location16,53.0
Location3,Location17,56.0
Location3,Location18,81.0
Location3,Location19,74.0
Location3,Location20,65.0
Location3,Location21,146.0
Location3,Location22,186.0
Location3,Location23,137.0
Location3,Location24,147.0
Location3,Location25,166.0
Location3,Location26,183.0
Location3,Location27,141.0
Location3,Location28,101.0
Location3,Location29,81.0
Location3,Location30,73.0
Location3,Location31,110.0
Location3,Location32,163.0
Location3,Location33,164.0
Location3,Location34,102.0
Location3,Location35,166.0
Location3,Location36,71.0
Location3,Location37,205.0
Location3,Location38,105.0
Location3,Location39,62.0
Location4,Location1,27.0
Location4,Location2,41.0
Location4,Location3,62.0
Location4,Location5,82.0
Location4,Location6,97.0
Location4,Location7,144.0
Location4,Location8,131.0
