From,To,Distance
Location1,Location2,26.0
Location1,Location3,26.0
Location1,Location4,26.0
Location1,Location5,10.0
Location1,Location6,60.0
Location1,Location7,60.0
Location1,Location8,60.0
Location1,Location9,68.0
Location1,Location10,68.0
Location1,Location11,68.0
Location1,Location12,68.0
Location1,Location13,92.0
Location1,Location14,92.0
Location1,Location15,92.0
Location1,Location16,116.0
Location1,Location17,116.0
Location1,Location18,116.0
Location1,Location19,164.0
Location1,Location20,164.0
Location1,Location21,164.0
Location1,Location22,84.0
Location1,Location23,36.0
Location1,Location24,36.0
Location1,Location25,42.0
Location1,Location26,46.0
Location1,Location27,120.0
Location1,Location28,27.0
Location1,Location29,27.0
Location1,Location30,61.0
Location1,Location31,61.0
Location1,Location32,69.0
Location1,Location33,69.0
Location1,Location34,93.0
Location1,Location35,93.0
Location1,Location36,21.0
Location1,Location37,27.0
Location1,Location38,31.0
Location1,Location39,372.0
Location1,Location40,372.0
Location1,Location41,446.0
Location1,Location42,446.0
Location1,Location43,446.0
Location2,Location1,36.0
Location2,Location3,0.0
Location2,Location4,0.0
Location2,Location5,36.0
Location2,Location6,6.0
Location2,Location7,6.0
Location2,Location8,6.0
Location2,Location9,10.0
Location2,Location10,10.0
Location2,Location11,10.0
Location2,Location12,10.0
Location2,Location13,12.0
Location2,Location14,12.0
Location2,Location15,12.0
Location2,Location16,16.0
Location2,Location17,16.0
Location2,Location18,16.0
Location2,Location19,96.0
Location2,Location20,96.0
Location2,Location21,96.0
Location2,Location22,64.0
Location2,Location23,22.0
Location2,Location24,22.0
Location2,Location25,16.0
Location2,Location26,22.0
Location2,Location27,30.0
Location2,Location28,1.0
Location2,Location29,1.0
Location2,Location30,7.0
Location2,Location31,7.0
Location2,Location32,11.0
Location2,Location33,11.0
Location2,Location34,13.0
Location2,Location35,13.0
Location2,Location36,7.0
Location2,Location37,1.0
Location2,Location38,7.0
Location2,Location39,348.0
Location2,Location40,348.0
Location2,Location41,356.0
Location2,Location42,356.0
Location2,Location43,356.0
Location3,Location1,36.0
Location3,Location2,0.0
Location3,Location4,0.0
Location3,Location5,36.0
Location3,Location6,6.0
Location3,Location7,6.0
Location3,Location8,6.0
Location3,Location9,10.0
Location3,Location10,10.0
Location3,Location11,10.0
Location3,Location12,10.0
Location3,Location13,12.0
Location3,Location14,12.0
Location3,Location15,12.0
Location3,Location16,16.0
Location3,Location17,16.0
Location3,Location18,16.0
Location3,Location19,96.0
Location3,Location20,96.0
Location3,Location21,96.0
Location3,Location22,64.0
Location3,Location23,22.0
Location3,Location24,22.0
Location3,Location25,16.0
Location3,Location26,22.0
Location3,Location27,30.0
Location3,Location28,1.0
Location3,Location29,1.0
Location3,Location30,7.0
Location3,Location31,7.0
Location3,Location32,11.0
Location3,Location33,11.0
Location3,Location34,13.0
Location3,Location35,13.0
Location3,Location36,7.0
Location3,Location37,1.0
Location3,Location38,7.0
Location3,Location39,348.0
Location3,Location40,348.0
Location3,Location41,356.0
Location3,Location42,356.0
Location3,Location43,356.0
Location4,Location1,36.0
Location4,Location2,0.0
Location4,Location3,0.0
Location4,Location5,36.0
Location4,Location6,6.0
Location4,Location7,6.0
Location4,Location8,6.0
Location4,Location9,10.0
Location4,Location10,10.0
Location4,Location11,10.0
Location4,Location12,10.0
