From,To,Distance
Location1,Location2,18.0
Location1,Location3,20.0
Location1,Location4,18.0
Location1,Location5,27.0
Location1,Location6,18.0
Location1,Location7,7.0
Location1,Location8,20.0
Location1,Location9,22.0
Location1,Location10,14.0
Location1,Location11,11.0
Location1,Location12,10.0
Location1,Location13,14.0
Location1,Location14,14.0
Location1,Location15,23.0
Location1,Location16,10.0
Location1,Location17,24.0
Location1,Location18,16.0
Location1,Location19,12.0
Location1,Location20,12.0
Location1,Location21,15.0
Location1,Location22,12.0
Location1,Location23,12.0
Location1,Location24,16.0
Location1,Location25,24.0
Location1,Location26,18.0
Location1,Location27,18.0
Location1,Location28,18.0
Location1,Location29,14.0
Location1,Location30,18.0
Location1,Location31,14.0
Location1,Location32,23.0
Location1,Location33,23.0
Location1,Location34,18.0
Location1,Location35,18.0
Location1,Location36,18.0
Location1,Location37,19.0
Location1,Location38,18.0
Location1,Location39,18.0
Location1,Location40,21.0
Location1,Location41,18.0
Location1,Location42,18.0
Location1,Location43,18.0
Location1,Location44,15.0
Location1,Location45,18.0
Location1,Location46,21.0
Location1,Location47,11.0
Location1,Location48,18.0
Location1,Location49,24.0
Location1,Location50,21.0
Location1,Location51,11.0
Location1,Location52,12.0
Location1,Location53,23.0
Location1,Location54,12.0
Location1,Location55,5.0
Location1,Location56,27.0
Location1,Location57,16.0
Location1,Location58,18.0
Location1,Location59,11.0
Location1,Location60,18.0
Location1,Location61,18.0
Location1,Location62,4.0
Location1,Location63,15.0
Location1,Location64,27.0
Location1,Location65,16.0
Location1,Location66,23.0
Location1,Location67,24.0
Location1,Location68,15.0
Location1,Location69,18.0
Location1,Location70,18.0
Location1,Location71,14.0
Location1,Location72,20.0
Location1,Location73,18.0
Location1,Location74,18.0
Location1,Location75,22.0
Location1,Location76,10.0
Location1,Location77,18.0
Location1,Location78,10.0
Location1,Location79,18.0
Location1,Location80,27.0
Location1,Location81,18.0
Location1,Location82,25.0
Location1,Location83,18.0
Location1,Location84,18.0
Location1,Location85,18.0
Location1,Location86,18.0
Location1,Location87,18.0
Location1,Location88,18.0
Location1,Location89,18.0
Location1,Location90,18.0
Location1,Location91,18.0
Location1,Location92,18.0
Location1,Location93,15.0
Location1,Location94,18.0
Location1,Location95,18.0
Location1,Location96,18.0
Location1,Location97,18.0
Location1,Location98,16.0
Location1,Location99,7.0
Location1,Location100,18.0
Location1,Location101,20.0
Location1,Location102,11.0
Location1,Location103,10.0
Location1,Location104,16.0
Location1,Location105,16.0
Location1,Location106,12.0
Location1,Location107,16.0
Location1,Location108,12.0
Location1,Location109,15.0
Location1,Location110,23.0
Location1,Location111,18.0
Location1,Location112,18.0
Location1,Location113,18.0
Location1,Location114,18.0
Location1,Location115,18.0
Location1,Location116,18.0
Location1,Location117,18.0
Location1,Location118,18.0
Location1,Location119,12.0
Location1,Location120,18.0
Location1,Location121,18.0
Location1,Location122,24.0
Location1,Location123,18.0
Location1,Location124,18.0
Location1,Location125,18.0
Location1,Location126,18.0
Location1,Location127,18.0
Location1,Location128,24.0
Location1,Location129,10.0
Location1,Location130,10.0
Location1,Location131,24.0
Location1,Location132,11.0
Location1,Location133,16.0
Location1,Location134,11.0
Location1,Location135,27.0
Location1,Location136,18.0
Location1,Location137,25.0
Location1,Location138,23.0
Location1,Location139,23.0
Location1,Location140,23.0
Location1,Location141,14.0
Location1,Location142,24.0
Location1,Location143,24.0
